* Funky input line bahážat	bahážat	+?
* Funky input line badjosat	i høyden	XXX
* Funky input line buotdin	kaikki tyynni	XXX
* Funky input line gas cō: puskii (koiralle) XXX
* Funky input line peaila	neljänneslitran mitta	XXX
* Funky input line preantár	kirjanpainaja	XXX
* Funky input line preanttidit	painaa (kirjoja)	XXX
liidna	pitkäsiima	N	N
liidnelláš	västäräkki	N	N
liiggálaš	erikoinen& liiallinen& erikoinen& liiallinen	A	+?
liika	ruumis	N	N
liikkastuvvat	kalveta (kuolemankalpeaksi)	V	+?
liippá	liippa (viikatteen hiomiseen)	N	+?
liippát	liipata (viikatetta)	V	+?
liiru	koppi (pallon kiinniotto)	N	+?
likta	lyhty	N	N
lilljá	lilja	N	N
linádas	pehmike	N	+?
linádat	pehmeä tai pehmeän lumen vuoksi upottava keli	N	+?
linccagit	tulla repaleiseksi	V	+?
linccas	repaleinen	A	A
linddor	tinttiä vähän isompi uroslohi	N	+?
linnjá	linja	N	N
linnjár	viivain	N	N
lisistit	ajaa ränsistyneellä ahkiolla tms.	V	+?
liššá	viikate	N	+?
litnjat	painua (rakennuksesta)	V	+?
livdnet	taksoittaa	V	V
livodit	laskeutua makuulle (useista sorkkaeläimistä)	V	+?
loabáhastit	panna kengät jalkaan pauloittamatta	V	+?
loađđa	poraamislauta (reikäinen levy)	N	+?
loađgu	suopöllö	N	N
loahki	sakka	N	N
loahkki	tyyni (tuulisella ilmalla tai navakan tuulen jälkeen)	N	+?
loahku	ahkionkaaren paininpuu	N	+?
loahppášbeaivi	loppiaispäivä	N	+?
loahppat	loppua	V	V
loahppelákca	kermaviili	N	N
loahppemielki	piimä	N	N
loahtta	(kaareva) emäpuun jatke	N	+?
loaidat	astua	V	V
loaidulii	loidommas (kodassa)	Adv	+?
loamši	rytky (liian väljä vaate)	N	+?
loarffas	löntystävä& pörröinen& löntystävä& pörröinen	A	+?
loaskkuhit	läimäytellä	V	V
loavkašuvvat	loukkaantua	V	V
loavku	loukko	N	N
loavuhit	levittää (peite)& vetää (airot) sisään& levittää (peite)& vetää (airot) sisään	V	+?
loažži	tyynehkö ilma	N	+?
lobálaš	luvallinen	A	A
loddu	villakuore	N	N
logádas	kymmenesosa	N	N
logahasdávda	(lievä) tartuntatauti	N	+?
logahit	luettaa& olla luettavissa& merkityttää (luetteloon)& kohdata (lievästä tartuntataudista)& luettaa& olla luettavissa& merkityttää (luetteloon)& kohdata (lievästä tartuntataudista)& luettaa& olla luettavissa& merkityttää (luetteloon)& kohdata (lievästä tartuntataudista)& luettaa& olla luettavissa& merkityttää (luetteloon)& kohdata (lievästä tartuntataudista)	V	+?
logget	irrottaa	V	V
logis	kymmenen (ihmistä)	N	+?
lohkameahttun	lukematon	A	+?
lohkkadit	lukita	V	V
lohkka	lukko	N	N
lohkket	väistää& torjua& väistää& torjua	V	+?
lohkki	kansi	A|N	N
lohkki	lukeva(inen)	A|N	+?
lohkki	lukeva& lukija& lukeva& lukija	A|N	+?
lohpádahttit	kihlata (tyttärensä)	V	+?
lohpádus	lupaus	N	N
lohppehit	juoksetuttaa	V	+?
lohppet	juoksettua	V	V
loiket	haalentaa& lämmittää (haaleaksi)& haalentaa& lämmittää (haaleaksi)	V	+?
loikkiidit	(alkaa) haaleta	V	+?
loikkiidit	tuntua haalealta	V	+?
lojan	kesy eläin (erit. ajoporo)	N	+?
lojáš	kesy vaadin	N	+?
lojat	kesy eläin (erit. ajoporo)	N	+?
lokŋásit	lähteä (joukolla)	V	+?
loksa	luotsi	N	N
loktit	kastella (ja taittaa talja karvojen irrottamiseksi)	V	+?
lolahit	epäillä (uskottomuudesta)	V	+?
lonástus	lunastus	N	N
lonisteaddji	lunastaja	N	N
lonistit	lunastaa	V	V
losidahttit	raskauttaa	V	V
lossu	losu: painoinen	+?	+?
lotnji	laskos	N	N
lotnut	lunastaa	V	V
lottástit	linnustaa	V	V
lovkkiidit	ruveta lörpöttelemään	V	+?
lovpár	karkulainen	N	N
lovpet	karata	V	V
lovssa	luotsi	N	N
lovsset	luotsata	V	V
lovtta-	lovttačáhci: liotusvesi (karvojen irrottamiseksi taljasta)	+?	+?
luddat	läkähtyä	V	V
luđet	ladata	V	V
ludnet	roskata	V	V
luhteránalaš	luterilainen	A	A
luiste	luistin	N	N
luksa	etelään& (R) itään& etelään& (R) itään	Adv	+?
luktui	oikukas	+?	+?
luládat	etelätuuli& (R) itätuuli& etelätuuli& (R) itätuuli	N	+?
lulidit	siirtää etelämmäs& (R) siirtää idemmäs& siirtää etelämmäs& (R) siirtää idemmäs	V	+?
lulimus	eteläisin& (R) itäisin& eteläisin& (R) itäisin	+?	+?
lulit	eteläisempi& (R) itäisempi& eteläisempi& (R) itäisempi	+?	+?
lullánit	siirtyä etelämmäs& (R) siirtyä idemmäs& siirtyä etelämmäs& (R) siirtyä idemmäs	V	+?
lullelačča	vähän etelämpää (R: idempää) ohi	Adv	+?
lulli	etelä& (R) itä& etelä& (R) itä	N	+?
lullil	etelämpää (ohi): (R) idempää (ohi)	Adv|Pr|Po	+?
lummor	taskukello	N	N
luŋká	luukku	N	N
luoddái	jolla on suuret jäljet	A	+?
luođđa	luoti	N	N
luogga	luokki	N	N
luogustit	haravoida luokoa	V	+?
luohčásit	liukastua (sorkkaeläimistä)	V	+?
luohkkái	mäkinen	+?	A
luohpet	hieho (toisen vuoden loppupuolella)& vuoden vanhana vasonut kermikkävaadin& hieho (toisen vuoden loppupuolella)& vuoden vanhana vasonut kermikkävaadin	N	+?
luohtehahtti	luotettava	A	A
luoilá	märisijä	N	+?
luoillistit	märistä	V	V
luokčat	taltata	V	V
luokti	katos	N	N
luonddahuvvat	voipua	V	V
luosat	isosilmäinen patoverkko	N	+?
luoska	helmakoriste miehen lapintakissa	N	+?
luoskut	varustaa miehen lapintakki reunakoristeella	V	+?
luossaveajet	lohenpoikanen	N	N
luotni	roska& (saniaisen) lehti& roska& (saniaisen) lehti	N	+?
luovanas	paininpuu (heinäsuovassa heinien päällä)	N	+?
luovaskas	helppolypsyinen	A	+?
luovasmit	tulla helppolypsyise(mmä)ksi	+?	+?
luovasmuvvat	tulla helppolypsyise(mmä)ksi	V	+?
luovččan	taltta	N	N
luovdádit	varustaa (nuotta) laduksilla	V	+?
luovdálas	joka usein juroo paikoilleen (ajoporosta)	+?	+?
luovdilit	laskeutua nopeasti mahalleen (eläin) t. polvilleen (ihminen)	V	+?
luovosčáhci	syvä vesi (josta ei pääse ylös)	N	+?
luovvanit	irrota	V	V
luovvar	apila& risti (korttipelissä)& apila& risti (korttipelissä)	N	+?
lurvu	rätti	N	N
luskkostat	miehen lapintakin helmakoriste	N	+?
lutnjat	ruikuttaa	V	V
luttodit	halkoa (jatkuvasti)	V	+?
lutton	halkoja& halkaisukirves& halkoja& halkaisukirves	N	+?
luvas	liotettu	A	+?
luvdá	luuta	N	N
luvddon	(komsion) päällysnahka	N	+?
luvdet	varustaa (nuotta) lauduksilla	V	+?
luvvet	irrottaa	V	V
máddánit	siirtyä etelämmäs	V	+?
mađđa	suuntapiirrin	N	+?
máddelačča	vähän etelämpää (ohi)	Adv	+?
máddelažžii	etelämmäs (vähän)	Adv	+?
máddeliidda	jonkin verran etelämmäs	Adv	+?
máddelii	etelämmäs	Adv	Adv
máddi	etelä	N	N
máddil	etelämpää (ohi)	Adv|Pr|Po	+?
máđir	(aho)matara	N	+?
mádjit	majava	N	N
mágoddi	kansanjoukko	N	N
máhcadit	palailla (yksi toisensa jälkeen tai vähin erin)	V	+?
máhcodit	taitella (kokoon& kauan)& taitella (kokoon& kauan)	V	+?
máhco-	taitettu	+?	A
máhken	vertainen	+?	A& N
máhkka	hietamato	N	N
máhkkot	vaivautua (tekemään jtak)	V	+?
máhku	maku	N	+?
máhta	ruoka	N	+?
máhttájeaddji	opetuslapsi	N	N
máiddon	(vyön) kieli	N	+?
máihlái	mahlainen	+?	A
máihli	mahla	N	N
máihllehuvvat	tulla mahlattomaksi& tulla vähämahlaiseksi& tulla mahlattomaksi& tulla vähämahlaiseksi	V	+?
máihlliidit	maistua mahlalta ~ mahlalle	V	+?
máihlut	mahloittua	V	+?
mái	kylläkin	Adv|N	Pcle
máilmmálaš	maailmallinen	A	A
máinnašit	mainita	V	V
máistin	maistaminen& makuaisti& maistaminen& makuaisti	N	+?
máistot	maistua	+?	V
mái	toukokuu	Adv|N	N
máizzas	sula (pakasteesta)& leuto (ilmasta)& sula (pakasteesta)& leuto (ilmasta)	A	+?
makkárge	minkäänlainen& minkälainen (tahansa)& minkäkinlainen& muunkaanlainen& minkäänlainen& minkälainen (tahansa)& minkäkinlainen& muunkaanlainen& minkäänlainen& minkälainen (tahansa)& minkäkinlainen& muunkaanlainen& minkäänlainen& minkälainen (tahansa)& minkäkinlainen& muunkaanlainen	Pron	+?
makkárge	missään nimessä	Pron	+?
máksot	tulla maksetuksi	+?	+?
máksu	maksu& vastike& kosto& maksu& vastike& kosto& maksu& vastike& kosto	N	+?
mála	maali (maalaamiseen)	N	+?
málár	maalari	N	N
málbma	malmi& ydinpuu& malmi& ydinpuu	N	+?
málle	malli	N	N
malssidit	päästää vaihtumaan (erehdyksessä)	V	+?
máltit	malttaa	V	V
mámmon	mammona	N	N
mánáhuvvat	tulla lapsettomaksi& menettää lapsia& tulla lapsettomaksi& menettää lapsia	V	+?
mánástahttit	vaikuttaa lapselta& toimia lapsen tavoin (erit. työnteossa)& vaikuttaa lapselta& toimia lapsen tavoin (erit. työnteossa)	V	+?
mánet	manata	V	V
maŋŋánit	myöhästyä& tulla myöhä& myöhentyä& myöhästyä& tulla myöhä& myöhentyä& myöhästyä& tulla myöhä& myöhentyä	V	+?
maŋŋebuoidi	peräsuoli	N	N
mánidit	manata	V	V
manimuš	munuaiset (pl.)	N	+?
mánnat	ilkkua& petkuttaa& ilkkua& petkuttaa	V	+?
mannet	kerätä munia& munia& kerätä munia& munia	V	+?
manni	menijä& menevä& menijä& menevä	A|N	+?
manni	muna	A|N	N
mannolagas	kulkeilla	Adv	Adv
mannolahkii	kulkeille	Adv	Adv
mánnosaš	kuukauden vanha& -kuinen& kuukauden vanha& -kuinen	A	+?
márahat	tyrsky& (suuren porotokan tai ihmisjoukon) kulkujälki& tyrsky& (suuren porotokan tai ihmisjoukon) kulkujälki	N	+?
máran	huutaja (lapsesta)	N	+?
márdu	marto (naaraseläimestä)& (kehittymätön) mäti& marto (naaraseläimestä)& (kehittymätön) mäti	N	+?
márki	markka	N	N
marššuhit	taapertaa	V	V
masa	mihin	+?	Adv
mášastuvvat	malttaa vaivoin	V	+?
másealgi	vedenjakaja	N	N
máset	jankuttaa	V	V
máska	naamari	N	N
máššil	malttavainen	A	+?
massit	menettää	V	V
mátkkálaš	matkalainen& matkustaja& matkalainen& matkustaja	N	+?
máŧolaš	mahdollinen	A	A& N
máttabátni	poskihammas	N	+?
máttagit	tyveä myöten	Adv	+?
máttás	etelään	Adv	+?
mátta	tyvi& (sanan) vartalo& tyvi& (sanan) vartalo	N	+?
mávssihit	maksattaa	V	V
meaddja	(avaimen) haitta	N	+?
meaddugas	erehtyväinen	A	A
meađggus	imelä& raskas (rasvaisesta ruoasta)& imelä& raskas (rasvaisesta ruoasta)	A	+?
meafardit	tallustaa	V	V
meagádit	määkäistä	V	+?
meahkástat	taivaanvuohi	N	N
mealláduvvat	nääntyä (raskaasta työstä)	V	+?
mealli	mela& rasvaevä& mela& rasvaevä	N	+?
meallut	meloa	V	V
mearamus	lähimpänä merta oleva	+?	+?
mearamuš	lähimpänä merta oleva	A	+?
mearat	lähempänä merta oleva	+?	+?
mearkadit	merkitä	V	V
mearkkastat	merkintä	N	N
mearraháskil	leveäpyrstökihu	N	+?
meassu	messu (usk.)& (pl.) juhlat& messu (usk.)& (pl.) juhlat	N	+?
meaštár	mestari	N	N
megodit	määkyillä	V	+?
mehkolas	innokas määkymään	+?	+?
meren	merisaamelainen (us. halventavasti)	N	+?
merkkodit	merkitä (jatkuvasti monia esineitä& vähin erin)& merkitä (jatkuvasti monia esineitä& vähin erin)	V	+?
merkot	panna merkille	V	+?
meroštallat	arvioida& määritellä& arvioida& määritellä	V	+?
messet	messuta& juhlia& messuta& juhlia	N|V	+?
mieđuštit	saattaa (jkta)& säestää& antaa (suurehko) häälahja tai (suurehkot) myötäjäiset& saattaa (jkta)& säestää& antaa (suurehko) häälahja tai (suurehkot) myötäjäiset& saattaa (jkta)& säestää& antaa (suurehko) häälahja tai (suurehkot) myötäjäiset	V	+?
miehkki	miekka	N	N
miehta	hunaja	N	N
miehtelii	kauemmas tuulen alle	Adv	+?
miehtut	pitkittäin	Adv|V	Adv
mieiggastat	(selkä)noja	N	+?
mieiggastit	nojautua	V	V
mieiggus	liiaksi nojallaan oleva (selkänojasta)	A	+?
miekta	mätässara	N	+?
mielga	rintalasta (lihoineen)	N	+?
mielkái	runsasmaitoinen	+?	+?
mielkkáhuvvat	tahraantua maitoon	V	+?
mielkkas	runsasmaitoinen	A	+?
miellasaš	mieluinen	A	A
mierkkáiduvvat	joutua sumuun	V	+?
miesáiduvvat	saada paljon vasoja	V	+?
mieseheapme	vasaton& jossa tai jolla on vähän vasoja& vasaton& jossa tai jolla on vähän vasoja	A	+?
miessadat	vasannahka	N	+?
mievkkis	pehmeä (kankaasta nahasta)	A	+?
mihkalmas	mikkeli	N	N
mihtidit	mitata	V	V
mihttohit	saattaa (jkta)	V	+?
mihttu	mitta	N	N
miijai	mikin	Pron	Pron
millet	jauhaa	V	V
milohallat	mieliä	V	V
minta	leima (metallirahassa)	N	+?
minta	minttu	N	N
mirkkohit	myrkyttää	V	V
mirkkolaš	myrkyllinen	A	A
mirkko	myrkky	N	N
misset	heroittua	V	+?
miššovdna	lähetys (usk.)	N	+?
missu	hera	N	N
mista	vahingossa	Adv	+?
mis	tosiaan	+?	Pcle
misttahit	erehtyä	V	V
moahtta	ruutimitta (ladatessa)	N	+?
moahtta	syyhy (porolla)	N	+?
moalus	jäähile (vedessä)	N	+?
moarádat	(kantamaton) hankiainen	N	+?
moarahat	railo	N	N
moaráhuvvat	raivostua	V	V
moaráskit	vihastua	V	V
moardit	pauloittaa (verkkoa)	V	+?
moarrasit	murtua (ohuesta hangesta tai jäästä)	V	+?
moccáskit	joutua käsikähmään	V	+?
mođđat	tulla mutaiseksi	V	+?
mođđi	muta	N	N
moddjet	hymyillä (kerran)	V	+?
modjosit	ruveta hymyilemään	V	+?
moiddas	pahoinvoiva	A	A
moiddodit	olla pahoinvoiva	V	+?
mokkáskit	joutua käsirysyyn	V	+?
moksin	silmärivi (verkossa tms.)	N	+?
mokta	into	N	N
moktige	mitenkään	Adv	Adv
moladit	sivuuttaa (huomaamattaan jku vastakkaiseen suuntaan kulkeva)& sivuuttaa toisensa (näkemättä: vastakkaisiin suuntiin kulkevista)& sivuuttaa (huomaamattaan jku vastakkaiseen suuntaan kulkeva)& sivuuttaa toisensa (näkemättä: vastakkaisiin suuntiin kulkevista)	V	+?
molddas	murentunut	A	+?
moldet	murentaa	V	V
molladit	panna tai saada sivuuttamaan (tietämättään& tav. vastakkaiseen suuntaan kulkeva)& panna tai saada sivuuttamaan (tietämättään& tav. vastakkaiseen suuntaan kulkeva)	V	+?
mollat	sivuuttaa (tietämättään& tav. vastakkaiseen suuntaan kulkeva)& sivuuttaa (tietämättään& tav. vastakkaiseen suuntaan kulkeva)	V	+?
molljut	myllertää (veden pintaa)	V	+?
mollui	mureneva	+?	A
molsašuvvat	muuttua& vaihtua (toiseen)& muuttua& vaihtua (toiseen)	V	+?
monnut	munia	V	V
morči	laskimo	N	N
morddár	murhaaja	N	N
moriidit	herätä	V	V
moriidus	heräys	N	+?
morrái	aamunvirkku	A	N
morris	aamuvirkku	A	N
morša	mursu	N	N
moršá	porovaras (suurista varkauksista epäilty)	N	+?
moskát	mököttää	V	V
mosku	sumu (pimeällä)	N	+?
mosttas	samea	A	A
movttáskit	innostua	V	V
mozzasit	taittua (terästä)	V	+?
mozzidit	nahistella	V	V
mozzut	taittaa (terä)	V	+?
muđolaš	nuorekas (kasvoiltaan)	+?	+?
muggarastit	heittää kuperkeikka	V	+?
mugodit	ammua (jatkuvasti)	V	+?
muhkut	ammua	V	V
muhttálas	taipuvainen muuttamaan (toisenlaiseksi)	+?	+?
muhttit	muuttaa toisenlaiseksi	V	+?
muhttot	muuttua	V	V
muhttot	peittyä lumeen	V	+?
muhttui	isonaamainen	+?	+?
muidet	tinata	V	V
muidui	vahvasti tinattu	A	+?
muitáhit	muistuttaa	V	V
muiti	muistaja	N	+?
muittohuvvat	menettää muistinsa& tulla huonomuistiseksi& tulla hajamieliseksi& menettää muistinsa& tulla huonomuistiseksi& tulla hajamieliseksi& menettää muistinsa& tulla huonomuistiseksi& tulla hajamieliseksi	V	+?
mulččihit	lipsahtaa	V	V
muldet	mullata	V	V
muldi	multa	N	N
muldui	multava	+?	A
mulggádit	mulkaista	V	V
mulggon	mulkoilija	N	+?
mulgut	mulkoilla	Adv|V	V
muŋkát	mököttää	V	V
munnet	kyetä	V	V
muoddáluvvat	kulua (peskistä)	V	+?
muohcu	(kirja)koi	N	+?
muohttálagat	(pl.) lumisateinen sää	N	+?
muohttát	alkaa sataa lunta	V	+?
muoladit	mölistä	V	V
muoládit	mölähtää	V	V
muoldái	multava	A	A
muolda	multa	N	N
muolddas	multainen	A	A
muolddat	(kenttä)myyrä	N	+?
muollat	mölistä	V	V
muoraheapme	puuton& vähäpuinen& ohut (puuesineiden seinämistä)& puuton& vähäpuinen& ohut (puuesineiden seinämistä)& puuton& vähäpuinen& ohut (puuesineiden seinämistä)	A	+?
muorjái	marjava	+?	+?
muošmi	(toisen puolen) vatsanpeitteet (pl.& porolla kyljen ja lonkan välillä)& (toisen puolen) vatsanpeitteet (pl.& porolla kyljen ja lonkan välillä)	N	+?
muoŧŧal	sisarenlapsi (vanhemman sisaren lapsi tädilleen)	N	+?
murdu	tiheikkö	N	N
murtu	(pieni) merikala	N	+?
muttar	kateturve	N	+?
muttát	sopiva	A	A
muttolaš	kohtuullinen	A	A
muvra	muura	N	N
nađas	aines kahvaa tai vartta varten	N	+?
nađđii	isokahvainen	+?	+?
náđđudit	päästää t. panna juromaan	V	+?
náđet	jurakko	+?	+?
nagahuvvat	humaltua (vähän)	V	+?
nággehallat	joutua pakotetuksi (jhk)	V	+?
nággi	näppylä	N	N
nagirheapme	uneton	A	+?
nago	nago... de ˈjospaˈ	Adv	+?
náhkálaš	nahkaesine	N	+?
náhkkelaš	nahkavaate	N	+?
náhpolastit	panna tappi veneeseen	V	+?
náhppa	poikkikorva (korvamerkki)	N	+?
náiggistit	vapista (ruumiista tai sen osista)	V	+?
naigguhit	muksia	V	V
náittusvuohta	avioliitto	N	N
nákca	kyky	N	N
nákkis	ahdas	A	+?
nakšalit	tulla tupsahtaa	V	+?
nakšát	istua (odottamattomassa paikassa)	V	+?
nalas	lököttävä (housuista)	A	+?
nálas	rotu	N	N
naleš	louteen yläosa	N	+?
nállasuvvat	tulla (jkhun)	V	+?
nallat	riisua (housut)	V	+?
nalli	lökäpöksy	N	N
nálset	naljailla	V	V
nalttas	pätkä	A	N
namaheapme	nimetön	A	+?
namalassii	erityisesti& nimittäin& erityisesti& nimittäin	Adv	+?
nammaláhpat	nimiloppu (kahdeksanvuotias tai sitä vanhempi urosporo)	N	+?
nammasuvvat	tulla (jkun) nimiin	V	+?
nammejahkii	nimeltä& nimenomaan& nimeltä& nimenomaan	Adv	+?
námmʼoaivi	naamasarvi (porosta)	+?	+?
námonistit	tungetella	V	V
nanihas	sisämaassa kesällä laiduntava porokylä tai sen jäsen	N	+?
nannán	manner	N	+?
nanni	sisämaa (porojen kesälaitumena)	N	+?
nannosit	lujasti& varmasti& lujasti& varmasti	Adv	+?
na	no	Pcle	Pcle& Interj
náránaš	näppy	N	N
nárpmastit	piirtää viiva suunturilla	V	+?
nárret	narrata& kiusoitella& narrata& kiusoitella	V	+?
nárrii	riitaisa	+?	A
nas	entä	Adv	Pcle
náskál	naskali	N	N
náššat	hankkia	V	V
náššon	kansakunta	+?	N
náššuvnnalaš	kansallinen	+?	A
nástá	nasta	N	A
navddašit	nimitellä& oletella& nimitellä& oletella	V	+?
návdet	metsästää turkiseläimiä	V	+?
navdit	nimittää (jksik)& olettaa& nimittää (jksik)& olettaa	V	+?
navihit	nyittää& liottaa karvattomaksi (vahingossa)& nyittää& liottaa karvattomaksi (vahingossa)	V	+?
navistit	nykäistä	V	V
návllis	puunaulan aines	N	+?
návrruhit	pilkata	V	V
navššihit	tulla tupsahtaa	V	+?
neahkameahttun	kummitus (näkymätön)	A|N	+?
neahku	ulkonäkö	N	+?
neahti	näätä	N	N
nealgái	nälkäinen	+?	A
nealgeskárdna	jolla on aina nälkä	N	+?
nealggár	aina nälkäinen olio& ahmatti& aina nälkäinen olio& ahmatti	N	+?
nealggas	nälkäinen& säälittävä& nälkäinen& säälittävä	A	+?
nealggostuvvat	alkaa tuntea nälkää	V	+?
nealgudit	pitää nälässä& nälkiinnyttää& pitää nälässä& nälkiinnyttää	V	+?
nearas	tylsä	A	A
nearrat	tylsyttää	V	V
neavva	neuvo& suositus& neuvo& suositus	N	+?
neavvuhit	ottaa vastaan neuvoja	V	+?
neavvut	neuvoa& suositella& neuvoa& suositella	V	+?
nelet	kahdeksan naulaa (painomitta)	N	+?
nelet	nelikko	N	N
nelggodit	nälkiintyä (vähin erin)	V	+?
nelggoš	jatkuvasti nälkäinen	+?	+?
nevvodit	neuvoskella& suositella& neuvoskella& suositella	V	+?
nevzzodit	nytkytellä& harjoittaa sukupuoliyhteyttä (usein tai jatkuvasti)& nytkytellä& harjoittaa sukupuoliyhteyttä (usein tai jatkuvasti)	V	+?
niehkki	niska (erit. ulkopuoli)	N	+?
niehkudit	haaveilla	V	V
niehkulaš	haaveilija	N	N
niehtti	pähkinä	N	N
nieiddastahttit	näyttää olevansa (naimaton) tyttö	V	+?
nieiddastallat	kohdella kuin tytärtään& käyttäytyä tyttären tavoin& käyttäytyä (naimattoman) tytön tavoin& kohdella kuin tytärtään& käyttäytyä tyttären tavoin& käyttäytyä (naimattoman) tytön tavoin& kohdella kuin tytärtään& käyttäytyä tyttären tavoin& käyttäytyä (naimattoman) tytön tavoin	V	+?
niesttáiduvvat	saada (tarpeeksi) evästä (matkaa varten)	V	+?
niestteheapme	eväätön& jolla on vähän evästä& eväätön& jolla on vähän evästä	A	+?
nigolaš	enneunia näkevä& (unen)näkijä& enneunia näkevä& (unen)näkijä	+?	+?
nihkkoš	enneunia näkevä	A	+?
nihlaidit	hihittää	V	V
nihlistit	hihittää	V	V
nihlla	hihitys	N	N
nihppá	lyhytkorvainen lammas	N	+?
nihta	uhkaus	N	N
nihttit	uhkailla	V	V
niisa	niisi	N	N
niitit	niittää	V	V
niitu	niitty	N	N
niktet	nauttia (jtak)& saada korvaukseksi& nauttia (jtak)& saada korvaukseksi	V	+?
nilkkistit	hihittää (ivallisesti)	V	+?
nirvut	virneessä	Adv|V	+?
nirvvil	virneessä	Adv	+?
niskkis	lattiapalkki	N	N
niso-	vehnä-& nisu ˈvehnäˈ& vehnä-& nisu ˈvehnäˈ	+?	+?
nissonahttá	emännättä	Adv	+?
nisu	nainen& vaimo& nainen& vaimo	N	+?
nisu	vehnä	N	N
nivssihit	suutahtaa	V	V
njabadas	palanpainike	N	+?
njabbet	luimistaa (korvansa)	V	+?
njabbi	kenosarvi (takakenosarvinen porovaadin)	N	+?
njáđášit	pitää (astiaa) matalana	V	+?
njáđđudit	madalluttaa (astiaa)	V	+?
njáđđut	madaltua (astiasta)	V	+?
njágan	hiiviskelijä	N	N
njággu	kenosarvi (porovaatimesta)& sutjakka olio (esine tai eläin)& kenosarvi (porovaatimesta)& sutjakka olio (esine tai eläin)	N	+?
njahkahastit	nikotella	V	V
njahkanas	nikotus	N	N
njahkastit	nikotella	V	V
njahppasis	koukkuun tarttuneena muusta kohdasta kuin suustaan (kalasta)	Adv	+?
njahppasii	...tarttuneeksi...	Adv	+?
njahpastit	koukata (kala pelkällä koukulla ilman varsinaista viehettä)	V	+?
njahppit	nykiä (narusta tms.)	+?	+?
njáikkas	jossa on ulkonemia	A	+?
njakčasit	mennä takakenoon	V	+?
njakčut	takakenossa (hetkellisesti)	Adv	+?
njaláhas	liukas	A	+?
njaláhastit	liukastua	V	V
njalaidallat	nieleskellä (jotain kuivaa juomatilkan kanssa)	V	+?
njalddán	porovaras (erit. vasojen varastamisesta epäilty)	N	+?
njáldit	syödä (hitaasti)	V	+?
njálgát	makeasti	Adv	Adv
njálgganjuokčamastit	makeilla	V	V
njalkasit	luiskahtaa	V	V
njalkkastit	liukastua& luiskahtaa& liukastua& luiskahtaa	V	+?
njalkkihit	liukastua	V	V
njalli-	(yhd.) njalˈlilásis ˈsilokallioˈ	+?	+?
njallut	paikata (nahkaa)	V	+?
njálmmádat	suisto	N	N
njalodit	paikkailla (nahkaa)	V	+?
njalssagit	ruveta lököttämään (vaatteista)	V	+?
njalssuhit	kulkea lököttävissä vaatteissa	V	+?
njamadit	imeä itseään (lehmästä)	V	+?
njámastat	kahmaisu& (vyyhdetty) silmukka& kahmaisu& (vyyhdetty) silmukka	N	+?
njamastuvvat	ruveta imemään& ruveta haluamaan imeä& ruveta imemään& ruveta haluamaan imeä	V	+?
njamažahkká	yllättäen	Adv	+?
njameš	halukas imemään	A	+?
njamistit	imaista	V	V
njammá	imevä karitsa	N	+?
njammásit	imeytyä	V	V
njámmasit	vyyhteytyä& tulla kahmaistuksi mukaan& tulla pyyhkäistyksi (pöydältä)& vyyhteytyä& tulla kahmaistuksi mukaan& tulla pyyhkäistyksi (pöydältä)& vyyhteytyä& tulla kahmaistuksi mukaan& tulla pyyhkäistyksi (pöydältä)	V	+?
njammedit	juopotella (jatkuvasti)	V	+?
njammot	tulla imetyksi	+?	+?
njaŋgalit	rötkäyttää (pitkin pituuttaan)	V	+?
njáŋgalit	rötkäyttää (pitkin pituuttaan)	V	+?
njaŋgaras	rötkäle	N	N
njaŋgasit	rötkähtää (pitkin pituuttaan)	V	+?
njáŋgasit	rötkähtää (pitkin pituuttaan: esineistä)	V	+?
njáŋgát	lojua retkottaa	V	+?
njaŋggagit	kuolla kupsahtaa	V	+?
njáŋggihit	rötkähtää (äkkiä pitkin pituuttaan& esineistä)& rötkähtää (äkkiä pitkin pituuttaan& esineistä)	V	+?
njaŋggiidit	ojentautua (pitkin pituuttaan)	V	+?
njanzát	rötköttää	V	V
njárbadit	harvakseltaan	Adv	Adv
njárbesoaivi	harvasarvi (porosta)	N	+?
njárbudit	harventaa& ohentaa& harventaa& ohentaa	V	+?
njárbut	harventua& laimentua& harventua& laimentua	V	+?
njartat	kastua läpimäräksi	V	+?
njarttas	läpimärkä	A	+?
njáskasit	karsiintua	V	V
njáškát	lojua (pitkänä ja hoikkana)	V	+?
njáškkas	pitkänhuiskea	A	A
njáškkuhit	koikkelehtia (pitkänhuiskeana)	V	+?
njassat	luiskahtaa alas (vyöstä)& painaa (vyötä) alaspäin& luiskahtaa alas (vyöstä)& painaa (vyötä) alaspäin	V	+?
njášši	allikko	N	N
njattiidit	maittaa	V	V
njavččagit	mennä takakenoon	V	+?
njavččuhit	kulkea pää takakenossa	V	+?
njavge	silokarvainen eläin	N	+?
njávggas	nauˈunta	N	+?
njávggihit	naukaista	V	V
njavggodit	silottua (karvasta)& raahautua (hihnan päässä ajoporon perässä)& silottua (karvasta)& raahautua (hihnan päässä ajoporon perässä)	V	+?
njavki	viiste& päällä vita (korvamerkissä)& viiste& päällä vita (korvamerkissä)	N	+?
njavvái	nivainen (joesta)	+?	+?
njeaccagit	mennä irveen	V	+?
njeaccas	irvistävä	A	+?
njeaccuhit	kävellä irvistellen	V	+?
